,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
134,"Someone You Loved","Lewis Capaldi",7744,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
135,"I Quit Drinking","Kelsea Ballerini",7730,https://open.spotify.com/track/6OcCk1dbAb7XNHsC098oEM
136,"Butter (Instrumental)",BTS,7717,https://open.spotify.com/track/2Ol2sv6gePRdJrZC1hDVNY
137,2002,Anne-Marie,7670,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
138,"บอกให้ฟังหน่อยนะ (please tell me)","SERIOUS BACON",7664,https://open.spotify.com/track/17UUTchNWTLOFsLUJnpIv8
139,"เจอแต่คนใจร้าย feat. Ink Waruntorn",Lipta,7663,https://open.spotify.com/track/5qsoeqn1bKqJzzmilZVEeG
140,"ข้างกัน (City)","Three Man Down",7654,https://open.spotify.com/track/3vdZ30MzgeTe5PiJXEmqjr
141,ที่ผ่านมา,YERM,7651,https://open.spotify.com/track/5UlSKEFiNHNFSye7CLpLPs
142,"How You Like That",BLACKPINK,7650,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
143,Memories,"Maroon 5",7612,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
144,lowkey,NIKI,7574,https://open.spotify.com/track/5TTXEcfsYLh6fTarLaevTi
145,ภาวนา,MEYOU,7565,https://open.spotify.com/track/7IcfEY0IyV4fdALbwJCw3v
146,"Butter (Hotter Remix)",BTS,7554,https://open.spotify.com/track/5qtVXK2ZRv9tfmvqr2MnBZ
147,"I’d Do It Again","Violette Wautier",7551,https://open.spotify.com/track/5A8ysv0c3aUkij0ojFlZZM
148,อยู่คนเดียว,Wanyai,7547,https://open.spotify.com/track/04BVwXNoTsEKZmj14Vm5HM
149,Scandal,TWICE,7482,https://open.spotify.com/track/2fluM1mE0tKQ6rvM77Vr11
150,"Are You out yet ?","Anatomy Rabbit",7468,https://open.spotify.com/track/26aQ0VXKHzPqu3aA3RWm8q
151,รองช้ำ,"DTK BOY BAND",7406,https://open.spotify.com/track/6Ysl4oCiALsVOAhWikYDzz
152,"Save Your Tears","The Weeknd",7357,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
153,"she likes spring, I prefer winter",slchld,7335,https://open.spotify.com/track/2sFF0K2eHIClZYUqIbAwdb
154,"Watermelon Sugar","Harry Styles",7279,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
155,รอยยิ้ม,SCRUBB,7209,https://open.spotify.com/track/6ezEwX2eZRZlioqYaUPOKX
156,"Kaikai Kitan",Eve,7188,https://open.spotify.com/track/6y4GYuZszeXNOXuBFsJlos
157,SOS,TWICE,7187,https://open.spotify.com/track/0HqzhHq24yCgB9gz5dVFn8
158,"eight(Prod.&Feat. SUGA of BTS)",IU,7115,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
159,"Blinding Lights","The Weeknd",7109,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
160,Tomboy,"Destiny Rogers",7089,https://open.spotify.com/track/5Ti3fqGTfjUsSdylFNy0Ng
161,ห้ามใจไม่อยู่,"Earth Patravee",7039,https://open.spotify.com/track/2hteglfTJmJmqac9pXz7rb
162,Conversation,TWICE,7028,https://open.spotify.com/track/51m3W8o9IlVrdWDEyqSY4F
163,"Intentions (feat. Quavo)","Justin Bieber",7010,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
164,LILAC,IU,6979,https://open.spotify.com/track/5xrtzzzikpG3BLbo4q1Yul
165,"Day 1 ◑",HONNE,6962,https://open.spotify.com/track/6ZzYETKetIfNUsZUb23jgG
166,"Lovesick Girls",BLACKPINK,6961,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
167,หมดความหมาย,Potato,6937,https://open.spotify.com/track/75WghHVzVG0XOBzyExf3jN
168,Save,"NCT 127",6847,https://open.spotify.com/track/0nW8KgIzm3Q6DCLHUtEHDh
169,"Dive Into You","NCT DREAM",6814,https://open.spotify.com/track/0z3ZZ2JKusRpapstADTxVf
170,"Mood (feat. iann dior)",24kGoldn,6805,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
171,"Ice Cream (with Selena Gomez)",BLACKPINK,6801,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
172,"ไม่น่าไปรักเธอเลย (Walk Away)","Chilling Sunday",6800,https://open.spotify.com/track/0ROVfEs3hrAP0VOgDAIdd5
173,"วังวน(BOXX FROM HOME)","SERIOUS BACON",6766,https://open.spotify.com/track/3o4erj1cYrVQFUNcKAYZoH
174,"Our Song",Anne-Marie,6763,https://open.spotify.com/track/5zqObw7wjBgL9TDiAymxPn
175,"Pretty Savage",BLACKPINK,6720,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
176,เรื่องเมื่อคืน,SOYBAD,6717,https://open.spotify.com/track/6l1DC6p0q0tGguuqMRDEGa
177,แก้มน้องนางนั้นแดงกว่าใคร,เขียนไขและวานิช,6707,https://open.spotify.com/track/15zvOBuL1QbkL7bvudg2p5
178,"Best Friend (feat. Doja Cat)",Saweetie,6703,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
179,"Time Zone","Three Man Down",6695,https://open.spotify.com/track/2usM29GjnReuh6Xxj8NQQc
180,寄り酔い,和ぬか,6673,https://open.spotify.com/track/154Jycdld9dX9rBLE6L3v4
181,คนโปรด,Pearpilincys,6627,https://open.spotify.com/track/20jt4uUdAiHqdBVXceQP8M
182,"คนเก่าเขาทำไว้ดี (Can’t win)","Chilling Sunday",6608,https://open.spotify.com/track/1qkIG72UU08DBiLyCL3vLH
183,กอดในใจ,Billkin,6573,https://open.spotify.com/track/5f2KxK16ijFLqMoqFN2qkK
184,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",6570,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
185,"Black Mamba",aespa,6561,https://open.spotify.com/track/1t2qYCAjUAoGfeFeoBlK51
186,"Klai (Closer)",SCRUBB,6546,https://open.spotify.com/track/4r3UvwePMdXPJrqFautgTq
187,เคยคิดถึงฉันไหมในตอนที่,Rooftop,6373,https://open.spotify.com/track/1cmU1HSgnNZ8UGyhPTvoue
188,Señorita,"Shawn Mendes",6361,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
189,"I Want U Around (Feat. DeVita)",YUGYEOM,6358,https://open.spotify.com/track/5zI721DtTDWjLbDvZoWKGZ
190,"Paris in the Rain",Lauv,6343,https://open.spotify.com/track/41CgzGD7xlgnJe14R4cqkL
191,ขี้หึง,"Silly Fools",6333,https://open.spotify.com/track/3S7oRCNWJkMNkqLMr88hpo
192,"แอบดี (How to live without you)",Stamp,6311,https://open.spotify.com/track/1wl5vs3SCMPpHTIR8IW8nJ
193,ดีใจด้วยนะ(Glad),"Ink Waruntorn",6308,https://open.spotify.com/track/0rvNW2zfoFqdz7jHw3VqSQ
194,"Say Yes",Loco,6301,https://open.spotify.com/track/27zrFrtUtWl2urlvjOn5xc
195,"boyfriend (with Social House)","Ariana Grande",6299,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
196,"หวง (You're Mine)","Earth Patravee",6287,https://open.spotify.com/track/5t2958ghc1UIUovv1pqMl3
197,Some,BOL4,6287,https://open.spotify.com/track/3jsYQw78lrxJA2ysnmOIf9
198,"ร W8","Gene Kasidit",6275,https://open.spotify.com/track/3zc9UfgETcTMGiazW58Klg
199,ไม่อยากเป็นเพื่อนกับแฟนเก่า,"Bean Napason",6266,https://open.spotify.com/track/5lbRvKhdnxuB1NVZp1yH4s
200,แอบหวัง,"Anatomy Rabbit",6261,https://open.spotify.com/track/0LLETxISOeZVam4l0RwcpV
